step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
70,3.5000,-0.290,1241.571,0.000,-0.059,-43.224,0.000,43.224,0.059,409843.4,409.84,39104.59,13504.59,1.069,0.079,0.002,0.077,0.021,0.039,0.290,Hybrid
71,3.5500,-0.293,1239.411,0.000,-0.058,-43.181,0.000,43.181,0.058,409392.4,409.39,39097.88,13497.88,1.068,0.074,0.002,0.079,-0.020,0.037,0.293,Hybrid
72,3.6000,-0.296,1237.253,0.000,-0.057,-43.139,0.000,43.139,0.057,408948.0,408.95,39091.17,13491.17,1.067,0.071,0.000,0.081,-0.019,0.034,0.296,Hybrid
73,3.6500,-0.299,1235.097,0.000,-0.056,-43.097,0.000,43.097,0.056,408508.0,408.51,39084.47,13484.47,1.066,0.066,-0.002,0.083,-0.017,0.031,0.299,Hybrid
74,3.7000,-0.301,1232.943,0.000,-0.055,-43.056,0.000,43.056,0.055,408074.3,408.07,39077.78,13477.78,1.065,0.063,0.000,0.084,0.017,0.029,0.301,Hybrid
75,3.7500,-0.304,1230.791,0.000,-0.054,-43.015,0.000,43.015,0.054,407645.9,407.65,39071.09,13471.09,1.064,0.056,0.001,0.085,0.016,0.026,0.304,Hybrid
76,3.8000,-0.307,1228.641,0.000,-0.053,-42.975,0.000,42.975,0.053,407221.5,407.22,39064.41,13464.41,1.063,0.052,0.001,0.085,-0.014,0.023,0.307,Hybrid
77,3.8500,-0.309,1226.494,0.000,-0.053,-42.935,0.000,42.935,0.053,406803.4,406.80,39057.74,13457.74,1.062,0.048,0.000,0.086,-0.013,0.020,0.309,Hybrid
78,3.9000,-0.312,1224.348,0.000,-0.052,-42.896,0.000,42.896,0.052,406390.3,406.39,39051.07,13451.07,1.062,0.044,-0.002,0.086,-0.012,0.018,0.312,Hybrid
79,3.9500,-0.315,1222.204,0.000,-0.052,-42.857,0.000,42.857,0.052,405982.1,405.98,39044.41,13444.41,1.061,0.040,-0.001,0.086,0.011,0.015,0.315,Hybrid
80,4.0000,-0.317,1220.062,0.000,-0.051,-42.818,0.000,42.818,0.051,405578.5,405.58,39037.76,13437.76,1.060,0.034,0.001,0.085,0.009,0.012,0.317,Hybrid
81,4.0500,-0.320,1217.922,0.000,-0.051,-42.780,0.000,42.780,0.051,405181.9,405.18,39031.12,13431.12,1.059,0.028,0.001,0.084,0.009,0.011,0.320,Hybrid
82,4.1000,-0.322,1215.784,0.000,-0.050,-42.743,0.000,42.743,0.050,404787.7,404.79,39024.48,13424.48,1.058,0.028,0.001,0.083,-0.008,0.008,0.322,Hybrid
83,4.1500,-0.325,1213.648,0.000,-0.050,-42.705,0.000,42.705,0.050,404397.8,404.40,39017.84,13417.85,1.057,0.020,0.000,0.082,-0.006,0.004,0.325,Hybrid
84,4.2000,-0.327,1211.514,0.000,-0.050,-42.669,0.000,42.669,0.050,404015.4,404.02,39011.22,13411.22,1.056,0.020,-0.001,0.081,-0.006,0.003,0.327,Hybrid
85,4.2501,-0.330,1209.381,0.000,-0.050,-42.632,0.000,42.632,0.050,403630.7,403.63,39004.60,13404.60,1.056,0.000,-0.001,0.079,0.001,-0.003,0.330,Hybrid
86,4.3001,-0.332,1207.250,0.000,-0.049,-42.596,0.000,42.596,0.049,403257.6,403.26,38997.98,13397.99,1.055,0.000,-0.001,0.077,0.001,-0.004,0.332,Hybrid
87,4.3501,-0.335,1205.121,0.000,-0.049,-42.561,0.000,42.561,0.049,402889.0,402.89,38991.38,13391.38,1.054,0.000,-0.001,0.074,0.001,-0.005,0.335,Hybrid
88,4.4001,-0.337,1202.994,0.000,-0.049,-42.526,0.000,42.526,0.049,402524.6,402.52,38984.77,13384.78,1.053,0.000,-0.001,0.072,0.001,-0.006,0.337,Hybrid
89,4.4501,-0.340,1200.869,0.000,-0.049,-42.491,0.000,42.491,0.049,402164.6,402.16,38978.18,13378.18,1.053,0.000,-0.001,0.070,0.001,-0.007,0.340,Hybrid
90,4.5001,-0.342,1198.745,0.000,-0.049,-42.456,0.000,42.456,0.049,401808.8,401.81,38971.59,13371.59,1.052,0.000,-0.001,0.067,0.001,-0.008,0.342,Hybrid
91,4.5501,-0.345,1196.623,0.000,-0.050,-42.422,0.000,42.422,0.050,401457.2,401.46,38965.01,13365.01,1.051,0.000,-0.001,0.065,0.001,-0.009,0.345,Hybrid
92,4.6001,-0.347,1194.503,0.000,-0.050,-42.389,0.000,42.389,0.050,401109.9,401.11,38958.43,13358.43,1.050,0.000,0.000,0.063,0.001,-0.010,0.347,Hybrid
93,4.6501,-0.350,1192.384,0.000,-0.050,-42.355,0.000,42.355,0.050,400767.0,400.77,38951.86,13351.86,1.050,0.000,0.000,0.060,0.001,-0.011,0.350,Hybrid
94,4.7001,-0.352,1190.267,0.000,-0.050,-42.322,0.000,42.322,0.050,400427.9,400.43,38945.29,13345.29,1.049,0.000,0.000,0.058,0.001,-0.012,0.352,Hybrid
95,4.7501,-0.355,1188.152,0.000,-0.050,-42.290,0.000,42.290,0.050,400092.8,400.09,38938.73,13338.73,1.048,0.020,0.000,0.055,0.001,-0.012,0.355,Hybrid
96,4.8001,-0.357,1186.038,0.000,-0.051,-42.258,0.000,42.258,0.051,399768.5,399.77,38932.17,13332.17,1.047,0.020,0.000,0.051,0.006,-0.030,0.357,Hybrid
97,4.8501,-0.360,1183.926,0.000,-0.051,-42.226,0.000,42.226,0.051,399441.2,399.44,38925.62,13325.62,1.047,0.020,0.001,0.047,0.006,-0.029,0.360,Hybrid
98,4.9001,-0.362,1181.816,0.000,-0.052,-42.194,0.000,42.194,0.052,399117.7,399.12,38919.07,13319.07,1.046,0.020,0.001,0.043,0.005,-0.029,0.362,Hybrid
99,4.9501,-0.365,1179.707,0.000,-0.052,-42.163,0.000,42.163,0.052,398800.8,398.80,38912.53,13312.53,1.045,0.028,0.002,0.039,0.008,-0.030,0.365,Hybrid
