step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
84,4.2000,10.946,2140.947,7.813,2.102,-73.080,1.802,73.132,2.769,583417.8,583.42,38881.27,13281.28,1.531,5.578,1.980,-8.760,-2.966,6.300,13.448,Fuzzy
85,4.2501,11.055,2137.299,7.904,2.245,-72.812,1.849,72.870,2.909,582386.0,582.39,38871.72,13271.72,1.529,5.947,0.695,-6.187,-2.427,4.679,13.590,Fuzzy
86,4.3001,11.170,2133.665,7.997,2.379,-72.544,1.890,72.607,3.038,581347.5,581.35,38862.18,13262.18,1.526,6.196,-0.319,-4.107,-2.120,4.136,13.738,Fuzzy
87,4.3501,11.292,2130.045,8.093,2.508,-72.276,1.936,72.345,3.169,580312.9,580.31,38852.66,13252.66,1.524,6.339,-1.569,-2.272,-3.028,3.547,13.893,Fuzzy
88,4.4001,11.421,2126.438,8.191,2.630,-72.009,1.993,72.085,3.300,579281.1,579.28,38843.16,13243.16,1.522,6.390,-3.222,-0.780,-3.825,2.749,14.055,Fuzzy
89,4.4501,11.555,2122.844,8.292,2.741,-71.743,2.057,71.824,3.427,578249.8,578.25,38833.67,13233.67,1.519,6.370,-5.203,0.323,-4.440,2.230,14.223,Fuzzy
90,4.5001,11.695,2119.264,8.397,2.857,-71.478,2.126,71.567,3.562,577228.7,577.23,38824.20,13224.20,1.517,6.293,-7.501,1.592,-5.445,3.042,14.397,Fuzzy
91,4.5501,11.841,2115.696,8.505,2.981,-71.219,2.174,71.314,3.689,576228.4,576.23,38814.74,13214.74,1.515,6.158,-9.191,3.209,7.026,3.729,14.579,Fuzzy
92,4.6001,11.993,2112.142,8.612,3.109,-70.960,2.096,71.059,3.749,575235.8,575.24,38805.30,13205.30,1.513,5.962,-6.452,5.091,4.889,4.205,14.765,Fuzzy
93,4.6501,12.152,2108.600,8.715,3.240,-70.702,2.032,70.805,3.824,574243.1,574.24,38795.88,13195.88,1.510,5.678,-4.418,7.201,3.958,4.930,14.954,Fuzzy
94,4.7001,12.317,2105.071,8.815,3.382,-70.446,1.975,70.555,3.916,573263.2,573.26,38786.48,13186.48,1.508,5.276,-2.742,9.910,3.187,6.595,15.147,Fuzzy
95,4.7501,12.491,2101.556,8.913,3.547,-70.196,1.927,70.312,4.036,572308.3,572.31,38777.09,13177.09,1.506,4.712,-1.469,13.672,2.314,9.523,15.344,Fuzzy
96,4.8001,12.673,2098.052,9.008,3.751,-69.957,1.889,70.083,4.200,571405.4,571.41,38767.71,13167.71,1.504,3.918,-0.620,19.230,1.489,14.150,15.548,Fuzzy
97,4.8501,12.867,2094.560,9.102,4.014,-69.739,1.860,69.879,4.424,570601.3,570.60,38758.35,13158.35,1.502,2.807,-0.091,27.408,0.926,21.089,15.760,Fuzzy
98,4.9001,13.075,2091.078,9.194,4.337,-69.547,1.836,69.706,4.710,569937.6,569.94,38749.00,13149.00,1.501,1.395,0.230,38.402,0.682,25.546,15.984,Fuzzy
99,4.9501,13.296,2087.605,9.285,4.335,-69.360,1.816,69.519,4.700,569304.7,569.30,38739.66,13139.67,1.500,1.508,0.518,38.296,0.828,-26.291,16.218,Fuzzy
100,5.0001,13.505,2084.142,9.376,4.007,-69.172,1.793,69.311,4.390,568670.3,568.67,38730.34,13130.34,1.498,2.889,1.017,27.042,1.452,-22.521,16.440,Fuzzy
101,5.0501,13.698,2080.689,9.464,3.740,-68.958,1.763,69.082,4.134,567915.4,567.92,38721.02,13121.02,1.497,3.933,1.813,18.667,2.060,-14.833,16.650,Fuzzy
102,5.1001,13.880,2077.246,9.552,3.536,-68.724,1.723,68.836,3.933,567047.4,567.05,38711.72,13111.72,1.495,4.666,2.924,13.107,2.785,-9.776,16.849,Fuzzy
103,5.1501,14.052,2073.816,9.637,3.374,-68.481,1.675,68.584,3.767,566127.1,566.13,38702.43,13102.43,1.493,5.183,4.406,9.427,3.546,-6.600,17.039,Fuzzy
104,5.2001,14.218,2070.398,9.719,3.235,-68.234,1.620,68.330,3.618,565187.8,565.19,38693.16,13093.16,1.490,5.554,6.217,6.812,4.208,-4.871,17.222,Fuzzy
105,5.2501,14.376,2066.992,9.799,3.107,-67.988,1.584,68.077,3.487,564245.6,564.25,38683.90,13083.90,1.488,5.828,7.503,4.778,-5.506,-4.127,17.398,Fuzzy
106,5.3001,14.528,2063.599,9.879,2.983,-67.742,1.647,67.827,3.408,563305.4,563.31,38674.66,13074.66,1.486,6.026,5.281,2.966,-4.352,-3.660,17.569,Fuzzy
107,5.3501,14.675,2060.218,9.963,2.865,-67.496,1.706,67.578,3.334,562363.5,562.36,38665.43,13065.43,1.484,6.146,3.367,1.422,-3.868,-3.008,17.737,Fuzzy
108,5.4001,14.815,2056.848,10.050,2.755,-67.249,1.759,67.328,3.269,561418.3,561.42,38656.22,13056.22,1.482,6.195,1.729,0.222,-3.199,-2.219,17.902,Fuzzy
109,5.4501,14.950,2053.493,10.139,2.650,-67.002,1.804,67.079,3.206,560470.5,560.47,38647.03,13047.03,1.480,6.185,0.446,-0.791,-2.389,-2.477,18.064,Fuzzy
110,5.5001,15.080,2050.149,10.230,2.537,-66.757,1.841,66.831,3.134,559531.6,559.53,38637.85,13037.85,1.478,6.110,-0.538,-2.127,-2.262,-3.212,18.222,Fuzzy
111,5.5501,15.204,2046.818,10.323,2.417,-66.515,1.884,66.586,3.064,558604.9,558.60,38628.68,13028.68,1.476,5.954,-1.759,-3.761,-2.947,-3.795,18.377,Fuzzy
112,5.6001,15.321,2043.498,10.419,2.294,-66.275,1.933,66.343,3.000,557688.7,557.69,38619.53,13019.53,1.473,5.704,-3.255,-5.609,-3.482,-4.187,18.528,Fuzzy
113,5.6501,15.433,2040.190,10.517,2.167,-66.037,1.986,66.103,2.940,556780.9,556.78,38610.40,13010.40,1.471,5.352,-4.943,-7.700,-3.828,-5.083,18.676,Fuzzy
114,5.7001,15.538,2036.894,10.617,2.029,-65.802,2.040,65.865,2.877,556011.7,556.01,38601.28,13001.28,1.470,4.886,-6.755,-10.414,-4.231,-6.787,18.819,Fuzzy
115,5.7501,15.636,2033.610,10.719,1.868,-65.573,2.020,65.631,2.751,555306.2,555.31,38592.17,12992.17,1.468,4.278,-6.026,-14.185,3.693,-9.822,18.957,Fuzzy
