step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
46,2.3000,-0.382,1481.315,0.000,0.005,-49.046,0.001,49.046,0.005,440116.8,440.12,39238.95,13638.95,1.144,0.369,-0.008,0.776,0.121,0.319,0.382,Hybrid
47,2.3500,-0.382,1478.864,0.000,0.011,-48.964,0.000,48.964,0.011,438882.4,438.88,39231.75,13631.75,1.141,0.329,0.007,0.809,0.105,0.277,0.382,Hybrid
48,2.4000,-0.381,1476.418,0.000,0.016,-48.885,0.000,48.885,0.016,437669.9,437.67,39224.57,13624.57,1.138,0.287,0.007,0.836,-0.095,0.233,0.381,Hybrid
49,2.4500,-0.380,1473.976,0.000,0.021,-48.806,0.000,48.806,0.021,436479.3,436.48,39217.40,13617.40,1.135,0.245,-0.005,0.857,-0.079,0.189,0.380,Hybrid
50,2.5000,-0.379,1471.538,0.000,0.025,-48.730,0.001,48.730,0.025,435309.8,435.31,39210.25,13610.25,1.133,0.202,-0.009,0.872,0.069,0.144,0.379,Hybrid
51,2.5500,-0.378,1469.103,0.000,0.028,-48.654,0.000,48.654,0.028,434161.6,434.16,39203.13,13603.13,1.130,0.158,-0.001,0.880,0.053,0.099,0.378,Hybrid
52,2.6000,-0.376,1466.672,0.000,0.030,-48.580,0.000,48.580,0.030,433034.1,433.03,39196.02,13596.02,1.127,0.114,0.005,0.882,0.038,0.055,0.376,Hybrid
53,2.6500,-0.375,1464.245,0.000,0.031,-48.507,-0.001,48.507,0.031,431926.9,431.93,39188.93,13588.93,1.124,0.069,0.007,0.878,-0.027,0.010,0.375,Hybrid
54,2.7000,-0.373,1461.822,0.000,0.031,-48.436,0.000,48.436,0.031,430839.2,430.84,39181.86,13581.86,1.122,0.028,0.005,0.868,-0.011,-0.034,0.373,Hybrid
55,2.7500,-0.372,1459.402,0.000,0.031,-48.366,0.000,48.366,0.031,429775.1,429.78,39174.81,13574.81,1.119,0.000,0.004,0.853,0.000,-0.072,0.372,Hybrid
56,2.8000,-0.370,1456.985,0.000,0.028,-48.297,0.000,48.297,0.028,428745.9,428.75,39167.77,13567.77,1.117,0.056,0.002,0.804,-0.019,-0.344,0.370,Hybrid
57,2.8500,-0.369,1454.572,0.000,0.023,-48.229,0.000,48.229,0.023,427733.0,427.73,39160.75,13560.75,1.114,0.097,-0.001,0.749,-0.031,-0.365,0.369,Hybrid
58,2.9000,-0.368,1452.162,0.000,0.019,-48.163,0.000,48.163,0.019,426737.3,426.74,39153.75,13553.75,1.112,0.133,-0.006,0.693,-0.042,-0.382,0.368,Hybrid
59,2.9500,-0.367,1449.755,0.000,0.014,-48.098,0.001,48.098,0.014,425759.4,425.76,39146.76,13546.76,1.110,0.166,-0.012,0.635,-0.052,-0.396,0.367,Hybrid
60,3.0000,-0.366,1447.352,0.000,0.008,-48.034,0.001,48.034,0.008,424798.6,424.80,39139.79,13539.79,1.107,0.196,-0.008,0.576,0.065,-0.406,0.366,Hybrid
61,3.0500,-0.366,1444.952,0.000,0.002,-47.971,0.000,47.971,0.002,423854.3,423.85,39132.84,13532.83,1.105,0.223,0.001,0.517,0.071,-0.413,0.366,Hybrid
62,3.1000,-0.366,1442.555,0.000,-0.004,-47.909,-0.001,47.909,0.004,422926.9,422.93,39125.89,13525.89,1.103,0.247,0.011,0.457,0.077,-0.416,0.366,Hybrid
63,3.1500,-0.367,1440.161,0.000,-0.010,-47.848,-0.001,47.848,0.010,422015.7,422.02,39118.97,13518.97,1.101,0.268,0.008,0.398,-0.088,-0.417,0.367,Hybrid
64,3.2000,-0.367,1437.770,0.000,-0.017,-47.789,0.000,47.789,0.017,421120.5,421.12,39112.06,13512.06,1.098,0.287,-0.004,0.340,-0.090,-0.415,0.367,Hybrid
65,3.2500,-0.368,1435.382,0.000,-0.023,-47.730,0.001,47.730,0.023,420240.5,420.24,39105.16,13505.16,1.096,0.302,-0.013,0.283,0.101,-0.409,0.368,Hybrid
66,3.3000,-0.370,1432.997,0.000,-0.030,-47.673,0.000,47.673,0.030,419375.8,419.38,39098.28,13498.28,1.094,0.315,0.000,0.228,0.100,-0.402,0.370,Hybrid
67,3.3500,-0.371,1430.615,0.000,-0.037,-47.616,-0.001,47.616,0.037,418526.2,418.53,39091.41,13491.41,1.092,0.324,0.013,0.174,0.102,-0.392,0.371,Hybrid
68,3.4000,-0.373,1428.236,0.000,-0.043,-47.561,0.000,47.561,0.043,417690.9,417.69,39084.56,13484.56,1.090,0.332,0.002,0.122,-0.106,-0.380,0.373,Hybrid
69,3.4500,-0.376,1425.859,0.000,-0.050,-47.506,0.001,47.507,0.050,416870.1,416.87,39077.72,13477.72,1.088,0.337,-0.012,0.072,-0.105,-0.367,0.376,Hybrid
70,3.5000,-0.378,1423.485,0.000,-0.056,-47.453,0.000,47.453,0.056,416063.5,416.06,39070.89,13470.89,1.086,0.339,-0.001,0.025,0.108,-0.351,0.378,Hybrid
71,3.5500,-0.381,1421.114,0.000,-0.063,-47.400,-0.001,47.401,0.063,415270.7,415.27,39064.08,13464.08,1.084,0.339,0.013,-0.019,0.106,-0.340,0.381,Hybrid
